Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,121,121,tooth,2,1.177517,0.022,True,1,False,0.9943237,3
0,122,122,tooth,3,1.280583,0.036,True,1,False,0.993988,3
0,123,123,tooth,4,1.035231,0.046,True,1,False,0.9935608,3
0,124,124,tooth,5,1.486714,0.058,True,1,True,0.1469421,3
0,125,125,tooth,6,1.162854,0.071,True,1,True,0.2919617,3
0,126,126,tooth,7,1.231014,0.077,True,1,True,0.4033203,3
0,127,127,tooth,8,1.325344,0.088,True,1,True,0.4815979,3
0,128,128,guide,1,1.109463,0.011,True,1,False,0.9941101,3
0,129,129,guide,2,1.337942,0.023,True,1,False,0.9940491,3
0,130,130,guide,3,1.369584,0.033,True,1,True,0.6380005,3
0,131,131,guide,4,1.462263,0.044,True,1,True,0.3031006,3
0,132,132,guide,5,1.371795,0.057,True,1,True,0.4481812,3
0,133,133,guide,6,1.297109,0.066,True,1,True,0.5594177,3
0,134,134,guide,7,1.417608,0.078,True,1,True,0.2912292,3
0,135,135,guide,8,1.468335,0.09,True,1,False,0.9940796,3
0,136,136,cycle,1,1.026147,0.011,True,1,False,0.9938049,3
0,137,137,cycle,2,1.200636,0.022,True,1,False,0.9946899,3
0,138,138,cycle,3,1.162506,0.033,True,1,False,0.9944153,3
0,139,139,cycle,4,1.183762,0.045,True,1,False,0.9941101,3
0,140,140,cycle,5,1.145633,0.054,True,1,False,0.9945679,3
0,141,141,cycle,6,1.428101,0.067,True,1,True,0.282196,3
0,142,142,cycle,7,1.299425,0.08,True,1,True,0.2362366,3
0,143,143,cycle,8,1.421575,0.089,True,1,True,0.2912598,3
0,144,144,giant,1,1.390492,0.011,True,1,False,0.9942322,3
0,145,145,giant,2,1.19913,0.023,True,1,False,0.9940796,3
0,146,146,giant,3,1.161,0.032,True,1,False,0.9941406,3
0,147,147,giant,4,1.084664,0.044,True,1,True,0.2919006,3
0,148,148,giant,5,1.360047,0.057,True,1,True,0.3144226,3
0,149,149,giant,6,1.133779,0.069,True,1,True,0.4031677,3
0,150,150,giant,7,1.076526,0.08,True,1,True,0.4256592,3
0,151,151,giant,8,1.101084,0.09,True,1,True,0.3920288,3
0,152,152,sauce,1,1.364429,0.011,True,1,False,0.993866,3
0,153,153,sauce,2,1.075474,0.023,True,1,False,0.993988,3
0,154,154,sauce,3,1.12455,0.034,True,1,False,0.9944458,3
0,155,155,sauce,4,1.130023,0.045,True,1,True,0.4256287,3
0,156,156,sauce,5,1.333983,0.055,True,1,True,0.1908569,3
0,157,157,sauce,6,1.276731,0.07,True,1,True,0.180542,3
0,158,158,sauce,7,1.344891,0.08,True,1,True,0.2807007,3
0,159,159,sauce,8,1.02103,0.09,True,1,True,0.3029785,3
